date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2020-02-03,7.0,0.4,48.0,12.1,10.3,8.5,0.2,101200.0,
2020-02-04,5.0,1.0,49.0,9.5,6.7,4.0,0.0,102030.0,
2020-02-05,7.0,1.5,42.0,,,2.4,,103640.0,
2020-02-06,4.0,3.5,68.0,9.6,4.8,0.0,0.0,103250.0,
2020-02-07,4.0,5.6,80.0,9.4,5.0,0.7,1.2,102090.0,
2020-02-08,7.0,4.3,77.0,11.1,9.5,7.9,0.0,101480.0,
2020-02-09,8.0,3.4,68.0,13.2,10.4,7.6,13.0,99660.0,
2020-02-10,7.0,0.1,24.0,9.7,7.5,5.4,3.0,99620.0,
2020-02-11,2.0,3.0,68.0,8.5,6.0,3.5,0.0,100660.0,
2020-02-12,4.0,6.5,99.0,9.1,5.6,2.2,10.0,101440.0,
2020-02-13,4.0,6.1,91.0,10.5,8.0,5.6,1.0,99860.0,
2020-02-14,7.0,1.1,56.0,12.6,7.2,1.9,3.0,101600.0,
2020-02-15,8.0,3.0,77.0,13.0,11.4,9.9,8.0,100800.0,
2020-02-16,6.0,0.0,20.0,13.1,12.5,12.0,12.2,99490.0,
2020-02-17,7.0,0.2,29.0,11.5,8.4,5.4,0.2,100830.0,
2020-02-18,7.0,4.2,88.0,11.5,7.9,4.4,2.4,101820.0,
2020-02-19,8.0,2.6,74.0,9.2,5.9,2.6,1.2,101890.0,
2020-02-20,4.0,0.0,36.0,10.4,9.5,8.6,5.0,101100.0,
2020-02-21,5.0,1.0,42.0,11.0,7.3,3.7,0.0,102250.0,
2020-02-22,7.0,0.0,67.0,14.4,11.7,9.1,0.4,101830.0,
2020-02-23,7.0,1.6,70.0,15.1,12.0,8.9,2.8,101660.0,
2020-02-24,7.0,1.3,61.0,12.2,8.9,5.7,2.0,101230.0,
2020-02-25,6.0,0.1,30.0,9.7,7.1,4.6,1.0,100130.0,
2020-02-26,5.0,1.7,84.0,9.2,5.1,1.1,4.2,100280.0,
2020-02-27,3.0,4.9,100.0,8.2,5.6,3.1,5.0,100300.0,
2020-02-28,8.0,4.5,91.0,12.0,6.0,0.1,6.0,100770.0,
2020-02-29,3.0,0.7,34.0,9.9,9.4,9.0,7.0,98710.0,
2020-03-01,3.0,4.5,99.0,10.6,7.6,4.6,5.0,98860.0,
2020-03-02,3.0,7.5,137.0,10.1,7.0,3.9,0.2,98940.0,
2020-03-03,4.0,3.6,106.0,10.6,6.0,1.5,0.8,100130.0,
2020-03-04,8.0,2.7,92.0,8.4,4.2,0.0,6.0,100840.0,
2020-03-05,8.0,0.0,54.0,6.1,5.7,5.4,10.0,99560.0,
2020-03-06,1.0,1.2,41.0,10.1,6.6,3.1,0.0,100350.0,
2020-03-07,7.0,8.9,165.0,13.4,7.5,1.6,0.4,101540.0,
2020-03-08,3.0,1.4,96.0,14.4,11.9,9.4,2.0,100640.0,
2020-03-09,7.0,4.7,120.0,11.1,7.8,4.6,7.0,101120.0,
2020-03-10,8.0,1.6,79.0,,,6.4,,100480.0,
2020-03-11,4.0,0.8,18.0,15.5,11.7,8.0,2.0,100930.0,
